interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;11964.00;DEFAULT_EDGEDATA;0;3.58;0;1060;839;0;0;3.58;1060;1.79;1.47;1339.84;24.72;0.85;185.76;1.26;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;63.06;0;3896;842;0;0;15.76;3896;7.88;11.54;41185.17;5.16;0.18;33779.23;10.57;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;15.63;0;4770;843;0;0;5.21;4770;2.60;0.89;3309.76;25.51;0.88;376.73;0.69;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.41;0;1060;847;0;0;1.71;1060;0.85;1.87;1780.36;25.96;0.89;169.99;1.68;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;110.56;0;3900;85;0;0;36.85;3900;18.43;17.24;60620.51;2.95;0.10;54414.31;15.54;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.08;0;1030;851;0;0;1.54;1030;0.77;1.24;1092.65;27.98;0.96;28.73;1.06;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;68.18;0;3896;852;0;0;17.04;3896;8.52;13.01;46591.05;4.78;0.16;38841.83;11.96;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;7.69;0;2241;853;0;0;2.56;2241;1.28;1.10;2008.28;24.37;0.84;304.00;0.90;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;16.47;0;4938;854;0;0;2.75;4938;1.37;2.74;12554.03;25.06;0.86;1609.67;2.54;0.00
0.00;11964.00;DEFAULT_EDGEDATA;0;3.28;0;1030;855;0;0;1.09;1030;0.55;1.55;1400.23;26.28;0.90;119.74;1.36;0.00
0.00;11964.00;DEFAULT_EDGEDATA;715;2.10;0;715;856;0;0;2.10;0;1.05;1.27;780.27;28.53;0.98;7.62;1.09;0.00
