interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_speedRelative;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;7200.00;DEFAULT_EDGEDATA;0;181.55;0;3889;1047;0;0;45.39;3889;22.69;28.83;105595.10;2.98;0.10;94666.66;27.15;0.00
0.00;7200.00;DEFAULT_EDGEDATA;147;2.28;0;469;1048;0;0;2.28;322;1.14;0.65;221.21;28.54;0.98;1.40;0.47;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;5.00;0;988;1049;0;0;2.50;988;1.25;1.08;888.00;27.47;0.95;40.16;0.90;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;96.14;9;2365;105;0;0;32.05;2374;16.02;7.11;13408.70;3.43;0.12;11808.44;5.65;4386.70
0.00;7200.00;DEFAULT_EDGEDATA;0;6.06;0;1228;1050;0;0;3.03;1228;1.51;1.16;1209.04;28.16;0.97;17.45;0.98;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;1.30;11;247;1051;0;0;1.30;258;0.65;0.34;40.02;27.66;0.95;1.78;0.16;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;4.80;6;969;1052;0;0;2.40;975;1.20;0.48;299.10;28.20;0.97;7.06;0.31;0.00
0.00;7200.00;DEFAULT_EDGEDATA;24;13.74;0;2694;1053;0;0;6.87;2670;3.44;2.06;5056.48;27.23;0.94;280.14;1.88;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;5.99;328;885;1054;0;0;2.99;1213;1.50;2.52;2839.03;28.14;0.97;46.39;2.34;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;27.29;0;758;1056;0;0;13.64;758;6.82;3.34;1552.23;3.86;0.13;1343.48;2.05;240.08
0.00;7200.00;DEFAULT_EDGEDATA;0;6.92;0;1437;1059;0;0;3.46;1437;1.73;0.34;234.23;28.83;0.99;0.22;0.16;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;10.90;19;349;106;0;0;5.45;368;2.72;10.56;3494.37;4.69;0.16;2925.04;9.50;0.00
0.00;7200.00;DEFAULT_EDGEDATA;352;1.70;0;352;1060;0;0;0.57;0;0.28;3.55;1187.84;28.69;0.99;0.05;3.37;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;17.18;0;3527;1061;0;0;4.29;3527;2.15;2.13;6908.87;28.52;0.98;50.50;1.96;0.00
0.00;7200.00;DEFAULT_EDGEDATA;1;3.77;0;778;1062;0;0;1.26;777;0.63;1.28;859.88;28.70;0.99;5.33;1.11;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;19.27;0;3920;1063;0;0;4.82;3920;2.41;1.18;3934.55;28.26;0.97;71.48;1.00;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;21.10;19;2183;1064;0;0;7.03;2202;3.52;2.25;4195.78;14.50;0.50;2084.78;1.91;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;3.72;127;635;1065;0;0;1.24;762;0.62;1.29;845.52;28.45;0.98;7.53;1.11;0.00
0.00;7200.00;DEFAULT_EDGEDATA;35;1.46;0;302;1066;0;0;1.46;267;0.73;0.68;153.34;28.70;0.99;1.58;0.51;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;9.86;0;1977;1067;0;0;4.93;1977;2.46;1.69;2988.77;27.85;0.96;87.41;1.51;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;2.91;11;578;1068;0;0;2.91;589;1.45;1.38;708.19;28.13;0.97;18.50;1.20;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;2.19;0;445;1069;0;0;1.10;445;0.55;0.96;349.90;28.22;0.97;3.34;0.79;0.00
0.00;7200.00;DEFAULT_EDGEDATA;13;0.15;0;31;107;0;0;0.08;18;0.04;1.28;34.29;28.69;0.99;0.00;1.11;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;2.92;58;490;1070;0;0;1.46;548;0.73;0.34;79.33;26.04;0.90;7.12;0.14;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.49;0;102;1071;0;0;0.49;102;0.24;0.45;28.22;28.91;0.99;0.01;0.28;0.00
0.00;7200.00;DEFAULT_EDGEDATA;0;0.28;0;58;1072;0;0;0.14;58;0.07;1.28;63.89;28.45;0.98;0.20;1.10;0.00
