node_id;node_x;node_y
1615052986;-118.2211203;34.0334266
1615052988;-118.2198555;34.0384967
1615052989;-118.1969707;34.055664
353034446;-118.1980409;34.055586
268644571;-118.2446755;34.0598762
807592204;-118.2139648;34.0548406
2351071530;-118.2466116;34.0602432
2351071532;-118.2448339;34.0586785
2351071533;-118.2460798;34.0594991
2351071535;-118.2445154;34.0582622
2351071537;-118.2465974;34.0599691
2351071539;-118.24543;34.0591475
2351071540;-118.2459697;34.059602
2351071542;-118.2451984;34.0587094
2351071543;-118.2447246;34.0584153
2351071547;-118.2452475;34.0588202
2351071549;-118.2455433;34.0590555
2351071550;-118.24679;34.0604436
2351071552;-118.2451261;34.0589062
2351071554;-118.2462005;34.0598196
2351071555;-118.2446249;34.0585178
807592268;-118.2152221;34.0593914
4020085069;-118.2209311;34.0419503
4020085070;-118.2208312;34.0423107
4020085071;-118.2179679;34.0424139
4020085072;-118.2168652;34.0425779
4020085073;-118.22074;34.0427536
4020085075;-118.2163681;34.0434906
4020085076;-118.2210316;34.0468329
4020085077;-118.2210522;34.047037
4020085078;-118.2213399;34.0479446
4020085079;-118.214006;34.048455
268644696;-118.2463229;34.0603487
268644697;-118.2464597;34.0604096
268644698;-118.2466984;34.0605452
4020085081;-118.2137509;34.04916
4020085082;-118.2222033;34.050963
4020085080;-118.2146273;34.048804
4020085084;-118.225149;34.0523063
353034591;-118.2006415;34.0551634
4020085083;-118.2222591;34.0510326
268538918;-118.2198175;34.0552129
353034594;-118.2020749;34.0548221
353034595;-118.2025383;34.0546728
353034592;-118.2012337;34.0550426
353034593;-118.2016543;34.054943
268644721;-118.2469102;34.0607151
268538922;-118.2214986;34.0545109
807592312;-118.2090593;34.0542236
268538924;-118.2194739;34.0553513
122909086;-118.242596;34.0567855
807592364;-118.2137592;34.0530192
268644785;-118.2469508;34.0606347
317645238;-118.2201009;34.0377599
317645241;-118.2205845;34.0366246
317645242;-118.22092;34.0357844
317645243;-118.2212453;34.0350796
268648894;-118.2475207;34.05945
268648895;-118.2473722;34.0597118
10559936;-118.2149685;34.059907
10559937;-118.2142698;34.054856
268648897;-118.2473819;34.060092
604238278;-118.2216493;34.0424206
317645259;-118.2214436;34.0346606
317645260;-118.2215864;34.0343479
317645261;-118.2217307;34.034035
317645262;-118.221847;34.0337715
1966358992;-118.2179838;34.0431237
604238307;-118.2178249;34.043048
604238308;-118.2177833;34.0430203
604238309;-118.2177591;34.0429945
604238310;-118.2177383;34.0429485
604238311;-118.2177233;34.042862
807592424;-118.2140457;34.0552305
269460519;-118.2119065;34.0545363
269460521;-118.2114687;34.0545363
317641203;-118.2218041;34.0360547
317641205;-118.2218126;34.0358911
317641206;-118.2218126;34.0357275
317641208;-118.2217955;34.035507
317641210;-118.2217783;34.0351585
317641212;-118.2217561;34.034856
317641213;-118.221744;34.0346819
317641214;-118.2217526;34.0345468
317641215;-118.2217697;34.0344259
404828672;-118.216323;34.0646154
317645312;-118.2204939;34.0366008
404828674;-118.2162519;34.0640955
317645313;-118.2208425;34.0357395
317645314;-118.2211845;34.0348882
268648978;-118.2471642;34.060018
268648979;-118.2467763;34.0597282
268648980;-118.2466208;34.0596363
268648982;-118.2456985;34.0590689
268648983;-118.2449408;34.0585816
317645339;-118.2212958;34.0346504
317645340;-118.2213817;34.0344325
317645341;-118.2214286;34.0342425
317645342;-118.2214568;34.0340847
317645343;-118.2214688;34.0339157
317645344;-118.2214581;34.0337879
317645346;-118.2214434;34.033669
317645347;-118.2214138;34.0335579
35361362;-118.244306;34.0581112
604238447;-118.2131172;34.0539893
268644978;-118.2475602;34.0613448
317645436;-118.2211416;34.03304
317645437;-118.2206521;34.0324609
6390186623;-118.2218672;34.04749
353034879;-118.1962646;34.0556794
6390186625;-118.2218589;34.0475304
6390186624;-118.2218587;34.0475589
6390186627;-118.2218992;34.0474522
6390186628;-118.2219153;34.0474455
353034883;-118.2008561;34.055263
911278722;-118.2146994;34.0600884
6390186626;-118.2218767;34.047473
6390186632;-118.2212381;34.0477597
6833701510;-118.2202494;34.0366264
6833701513;-118.2211047;34.0369842
6390186633;-118.2210952;34.0474087
353034891;-118.2048124;34.0541541
6390186634;-118.2211109;34.0474803
353034887;-118.2029932;34.054815
353034890;-118.204418;34.0542959
6390186635;-118.2211634;34.0476121
6833701512;-118.220968;34.0368818
353034889;-118.2035254;34.0546301
268645017;-118.2473646;34.061579
4032311967;-118.2448115;34.0601533
1614922778;-118.221934;34.0474399
29098665;-118.2191068;34.0398125
29098666;-118.2161594;34.0635811
36729574;-118.2212634;34.0418963
604238568;-118.2128586;34.0541509
